day,room,booth_number,paper_id,booth_id,type,title,author_list
2,G,13,2,G-13,ショート採録,（公開準備中）,"久保 勇貴 (NTT)，
江口 佳那 (NTT)，
青木 良輔 (NTT)，
近藤 重邦 (NTT)，
東 正造 (NTT)，
犬童 拓也 (NTT)"
3,R,19,5,R-19,ロング採録,ターゲット内に両端が存在するスワイプジェスチャ,"八箇 恭平 (筑波大)，
礒本 俊弥 (筑波大)，
川口 航平 (筑波大)，
志築 文太郎 (筑波大)"
2,R,17,8,R-17,ロング採録,熟練者の動作の可視化によるVRスキートレーニングシステム,"野澤 崇行 (東工大)，
Erwin Wu (東工大)，
Florian Perteneder (東工大)，
小池 英樹 (東工大)"
2,R,19,9,R-19,ショート採録,DanceUnisoner: グループダンスパフォーマンス動画作成インタフェース,"土田 修平 (産総研)，
深山 覚 (産総研)，
後藤 真孝 (産総研)"
3,G,7,19,G-7,ショート採録,多様なマルチタッチ入力を自動生成するデバイスの構築,"岡本 雅弘 (立命館大)，
村尾 和哉 (立命館大)"
2,G,7,20,G-7,ショート採録,UVプリンタを用いたレンズ造形手法の提案,"杉山 圭 (はこだて未来大)，
塚田 浩二 (はこだて未来大)
"
3,G,13,21,G-13,ロング採録,BubBowl: 電気分解を利用したカップ型泡ディスプレイ,"石井 綾郁 (お茶の水女子大)，
椎尾 一郎 (お茶の水女子大)
"
3,G,1,22,G-1,ショート採録,ExtickTouch : 仮想物体への接触感を提示する先端伸縮型デバイスの開発,"片岡 敬志郎 (立命館大)，
山本 拓也 (立命館大)，
大槻 麻衣 (筑波大)，
柴田 史久 (立命館大)，
木村 朝子 (立命館大)
"
2,G,9,23,G-9,ショート採録,3Dプリンターによる一体造形式回転機構の提案,"新山 大翔 (はこだて未来大），
沖 真帆 (はこだて未来大)，
塚田 浩二 (はこだて未来大)
"
2,G,5,24,G-5,ショート採録,タンジブルなブロックを組み立てることによりAR空間で実行可能な教育用プログラミングツール,"服部 圭介 (駒澤大)，
井上 馨太 (駒澤大)，
志賀野 桐生 (駒澤大)，
平井 辰典 (駒澤大)
"
